mode,channel,tx,rx,batch_size,total_ns,per_item_ns
sync,crossbeam,4,4,2,90225584,21
sync,batch-channel,4,4,4,605478167,36
sync,kanal,4,4,4,389572750,92
sync,crossbeam,4,4,4,72210292,17
sync,batch-channel,4,4,8,660036292,19
sync,kanal,4,4,8,297565042,70
sync,crossbeam,4,4,8,74246750,17
sync,batch-channel,4,4,16,1044076709,15
sync,kanal,4,4,16,305030083,72
sync,crossbeam,4,4,16,69908792,16
sync,batch-channel,4,4,32,1465950125,10
sync,kanal,4,4,32,462919167,110
sync,crossbeam,4,4,32,92395708,22
sync,batch-channel,4,4,64,2581077708,9
sync,kanal,4,4,64,364957333,87
sync,crossbeam,4,4,64,75018875,17
sync,batch-channel,4,4,128,4118801667,7
sync,kanal,4,4,128,371839041,88
sync,crossbeam,4,4,128,72983042,17
sync,batch-channel,4,4,256,7183787125,6
sync,kanal,4,4,256,365687083,87
sync,crossbeam,4,4,256,53375208,12
